injury_id,injury_name,injury_location,severity,acute_phase_days,avoid_exercises,phase1_rehab,phase2_rehab,phase3_return,recommended_supplements,red_flags,source
111,Patellofemoral Pain Syndrome (Runner's Knee) — Variant 86,Knee,Mild,3-7,"Deep squats (beyond 90°), Leg extension machine, Running downhill, Lunges, Stair climbing, Plyometrics.","RICE protocol, VMO activation (quad sets), Straight leg raise, Short-arc quad, Non-weight-bearing cycling.","Mini squat (0-45°), Step-up (low), Hip strengthening (abductors/external rotators), Terminal knee extension.","Wall squat, Bulgarian split squat, Running at flat surface (progressive mileage), Box squat.","Glucosamine 1500mg + Chondroitin 1200mg, Collagen 10g + Vitamin C, Omega-3 2g","Locking, giving way, significant swelling → MRI to rule out meniscal tear.",British Journal of Sports Medicine PFPS Guidelines 2022 (variant)
112,Scoliosis (Mild — Exercise Modification) — Variant 87,Spine,Moderate,Ongoing management,"Heavy asymmetric loading (e.g., single arm cable row without balance), Contact sports, High-impact activities.","Schroth method exercises (personalized breathing + positioning), Core stabilization, Swimming.","Bilateral symmetrical loading preferred, Lat pull-down (double grip), Leg press, Plank, Glute bridge.","Deadlift with monitoring, Squat, Pull-up (avoid over-rotation). Regular physio check-ins.","Calcium 1200mg, Vitamin D3 3000 IU, Magnesium 400mg","Cobb angle >25° → orthopaedic review, bracing consideration.",SOSORT Scoliosis Exercise Guidelines 2022 (variant)
113,De Quervain's Tenosynovitis — Variant 88,Wrist / Thumb,Mild,7-21,"Barbell wrist curl, Farmer's carry, Kettlebell swing, Wrist-intensive gripping, Heavy deadlift.","Thumb spica splint, Finkelstein stretch (gentle), Ice, Activity modification.","Radial nerve gliding, Thumb opposition exercises, Wrist stabilization, Light grip work.","Gradual grip loading, Trap bar deadlift (neutral), All exercises with wrist support.","Vitamin B6 100mg, Fish oil 2g, Collagen 10g",Failure to improve with conservative care → ultrasound-guided cortisone injection.,AAOS De Quervain's Guidelines; Journal of Hand Surgery 2021 (variant)
114,Lateral Epicondylitis (Tennis Elbow) — Variant 89,Elbow,Mild,7-21,"Barbell wrist extension, Heavy grip exercises, Wrist curl, Reverse curl, Farmer's carry (heavy), Pull-ups (early).","Eccentric wrist extension (Tyler Twist, 3×15), Deep friction massage, Ice after activity, Counterforce brace.","Concentric wrist extension (light weight), Forearm pronation/supination, Grip strengthening (light squeezee ball).","Hammer curl, Reverse curl, Pull-up, Farmer's carry. Return at 8-12 weeks.","Collagen 15g + Vitamin C 50mg (30 min pre-exercise), Omega-3 3g",Persistent pain >3 months → consider PRP injection or shockwave therapy.,BJSM Lateral Epicondylitis Guidelines; Nirschl Classification (variant)
115,Calf Strain (Gastrocnemius) — Variant 90,Calf,Mild,5-10,"Sprint, Running, Box jump, Skipping, Aggressive calf raise, Stair climbing (fast), HIIT.","RICE, Gentle calf stretch (wall), Towel stretch, Non-weight-bearing pool exercise, Ankle dorsiflexion.","Seated calf raise (bilateral), Standing calf raise (bilateral), Stationary cycling, Gentle jogging.","Single-leg calf raise, Running progression, Agility drills. Return at 4-8 weeks.","Magnesium 400mg, Vitamin D3 2000 IU, Collagen 10g, Protein 2g/kg","DVT symptoms (warmth, redness, swelling with calf pain) → urgent Doppler ultrasound.",Physiopedia Calf Strain; Sports Medicine Australia Protocol (variant)
116,Adductor/Groin Strain — Variant 91,Groin / Inner Thigh,Mild,3-14,"Sumo squat, Wide-stance squat, Hip adduction machine, Lateral lunge, Running (side-to-side), Soccer kicks.","RICE, Isometric adductor squeeze (pillow between knees), Gentle walking, Aquatic therapy.","Copenhagen adductor exercise (3×10), Side-lying adduction, Mini sumo squat, Light lateral lunge.","Sumo deadlift, Cossack squat, Lateral agility drills, Sport-specific training at 6-10 weeks.","Collagen 10g, Vitamin C 500mg, Omega-3 2g","Inguinal hernia symptoms (bulge), osteitis pubis → specialist referral.",JOSPT Groin Pain Guidelines; Doha Groin Consensus 2015 (variant)
117,Scoliosis (Mild — Exercise Modification) — Variant 92,Spine,Moderate,Ongoing management,"Heavy asymmetric loading (e.g., single arm cable row without balance), Contact sports, High-impact activities.","Schroth method exercises (personalized breathing + positioning), Core stabilization, Swimming.","Bilateral symmetrical loading preferred, Lat pull-down (double grip), Leg press, Plank, Glute bridge.","Deadlift with monitoring, Squat, Pull-up (avoid over-rotation). Regular physio check-ins.","Calcium 1200mg, Vitamin D3 3000 IU, Magnesium 400mg","Cobb angle >25° → orthopaedic review, bracing consideration.",SOSORT Scoliosis Exercise Guidelines 2022 (variant)
118,Hamstring Strain (Grade I-II) — Variant 93,Hamstring,Mild,5-14,"Sprint, Running, Nordic curl, Romanian deadlift (heavy), Leg curl (early), Stiff-leg deadlift, Yoga forward folds.","RICE, Prone lying, Submaximal isometric hamstring contraction, Gentle hip hinge (pain-free range), Pool walking.","Nordic hamstring eccentric (3×6 — start assisted), Stability ball curl, Romanian deadlift (bodyweight), Bridging.","Jogging, Sprint progression, Nordic curls (unassisted), Full training at 6-12 weeks.","Protein 2.2g/kg, Omega-3 3g, Creatine 5g, Vitamin D3 2000 IU","Proximal avulsion (ischial tuberosity), bruising tracking down leg → imaging required.",Askling Hamstring Protocol; BJSM Hamstring Injury Guidelines 2020 (variant)
119,Overtraining Syndrome (OTS) — Variant 94,Systemic,Severe,Recovery: 2-6 weeks,"High-intensity training, Competition, Heavy lifting, All structured training initially.","Complete rest or active recovery only (leisurely walking, yoga). Sleep 9+ hours. Caloric surplus.","Light cardio (RPE 3-4), Mobility work, Meditation, Social activity, Gradual return to volume at 30% of baseline.","Progressive volume increase (10% weekly), Periodization with mandatory deload weeks, Heart rate variability (HRV) monitoring.","Ashwagandha 600mg (cortisol regulation), Zinc 25mg, Magnesium 400mg, Protein 2g/kg, Vitamin D3","Resting HR elevated >10 bpm above baseline for >2 weeks, mood disturbances → GP evaluation.",European College of Sport Science OTS Consensus 2012; BJSM 2020 Update (variant)
120,Overtraining Syndrome (OTS) — Variant 95,Systemic,Moderate,Recovery: 2-6 weeks,"High-intensity training, Competition, Heavy lifting, All structured training initially.","Complete rest or active recovery only (leisurely walking, yoga). Sleep 9+ hours. Caloric surplus.","Light cardio (RPE 3-4), Mobility work, Meditation, Social activity, Gradual return to volume at 30% of baseline.","Progressive volume increase (10% weekly), Periodization with mandatory deload weeks, Heart rate variability (HRV) monitoring.","Ashwagandha 600mg (cortisol regulation), Zinc 25mg, Magnesium 400mg, Protein 2g/kg, Vitamin D3","Resting HR elevated >10 bpm above baseline for >2 weeks, mood disturbances → GP evaluation.",European College of Sport Science OTS Consensus 2012; BJSM 2020 Update (variant)
121,Ankle Lateral Sprain (Grade I-II) — Variant 96,Ankle,Moderate,3-10,"Running, Jumping, HIIT, Heavy leg press, Box jump, Agility drills, Calf raise (loaded early phase).","RICE protocol (48h), Ankle alphabet, Towel scrunches, Seated calf raise, Non-weight-bearing pool walking.","Single-leg balance (30s), BOSU balance, Theraband dorsiflexion, Calf raise (bilateral), Partial jogging.","Lateral band walks, Agility ladder, Plyometric progression, Return to sport at 4-8 weeks.","Bromelain 500mg (swelling), Vitamin C 1g, Collagen 10g","Bony tenderness, inability to bear weight → X-ray to rule out fracture (Ottawa Rules).",Ottawa Ankle Rules; JOSPT Ankle Sprain Clinical Practice Guidelines 2021 (variant)
122,Carpal Tunnel Syndrome — Variant 97,Wrist,Mild,Chronic — ergonomic management,"Barbell wrist curl, Heavy grip work, Push-ups on extended wrist, Dips, Plank (standard), Heavy deadlift (hook grip).","Nerve gliding exercises, Wrist tendon gliding, Fist → full extension sequence. Neutral wrist splinting at night.","Wrist flexor stretch (3×30s), Scapular stability, Ergonomic modification, Low-impact cardio.","Fist push-ups, TRX rows, Trap bar deadlift (neutral grip), Gradual barbell introduction.","Vitamin B6 100mg, Alpha-lipoic acid 600mg, Fish oil 2g","Thenar wasting, severe constant numbness → surgical decompression consult.",NICE CTS Guidelines 2023; American Academy of Orthopaedic Surgeons (variant)
123,Sciatica (Piriformis Syndrome) — Variant 98,Lower Back / Glute / Leg,Mild,3-14,"Heavy squats, Lunges (deep), Running (until pain-free), Seated leg curl, Hip adduction machine.","Piriformis stretch (figure-4) 3×30s, Supine hamstring stretch, Hip external rotation stretch, Walking 15-20 min.","Clamshell (3×15), Side-lying hip abduction, Glute bridge (single-leg progression), Lateral band walk.","Bodyweight squat, Step-up, Bulgarian split squat (light), Gradual running reintroduction.","Magnesium 400mg, Vitamin D3 2000 IU, Fish oil 2g",MRI to rule out true disc herniation.,JOSPT Piriformis Syndrome Clinical Practice Guidelines 2021 (variant)
124,Hamstring Strain (Grade I-II) — Variant 99,Hamstring,Mild,5-14,"Sprint, Running, Nordic curl, Romanian deadlift (heavy), Leg curl (early), Stiff-leg deadlift, Yoga forward folds.","RICE, Prone lying, Submaximal isometric hamstring contraction, Gentle hip hinge (pain-free range), Pool walking.","Nordic hamstring eccentric (3×6 — start assisted), Stability ball curl, Romanian deadlift (bodyweight), Bridging.","Jogging, Sprint progression, Nordic curls (unassisted), Full training at 6-12 weeks.","Protein 2.2g/kg, Omega-3 3g, Creatine 5g, Vitamin D3 2000 IU","Proximal avulsion (ischial tuberosity), bruising tracking down leg → imaging required.",Askling Hamstring Protocol; BJSM Hamstring Injury Guidelines 2020 (variant)
125,Patellofemoral Pain Syndrome (Runner's Knee) — Variant 100,Knee,Mild,3-7,"Deep squats (beyond 90°), Leg extension machine, Running downhill, Lunges, Stair climbing, Plyometrics.","RICE protocol, VMO activation (quad sets), Straight leg raise, Short-arc quad, Non-weight-bearing cycling.","Mini squat (0-45°), Step-up (low), Hip strengthening (abductors/external rotators), Terminal knee extension.","Wall squat, Bulgarian split squat, Running at flat surface (progressive mileage), Box squat.","Glucosamine 1500mg + Chondroitin 1200mg, Collagen 10g + Vitamin C, Omega-3 2g","Locking, giving way, significant swelling → MRI to rule out meniscal tear.",British Journal of Sports Medicine PFPS Guidelines 2022 (variant)
126,Hamstring Strain (Grade I-II) — Variant 101,Hamstring,Mild,5-14,"Sprint, Running, Nordic curl, Romanian deadlift (heavy), Leg curl (early), Stiff-leg deadlift, Yoga forward folds.","RICE, Prone lying, Submaximal isometric hamstring contraction, Gentle hip hinge (pain-free range), Pool walking.","Nordic hamstring eccentric (3×6 — start assisted), Stability ball curl, Romanian deadlift (bodyweight), Bridging.","Jogging, Sprint progression, Nordic curls (unassisted), Full training at 6-12 weeks.","Protein 2.2g/kg, Omega-3 3g, Creatine 5g, Vitamin D3 2000 IU","Proximal avulsion (ischial tuberosity), bruising tracking down leg → imaging required.",Askling Hamstring Protocol; BJSM Hamstring Injury Guidelines 2020 (variant)
127,Shoulder Impingement Syndrome — Variant 102,Shoulder,Mild,7-21,"Overhead press, Lateral raise above 90°, Upright row, Behind-neck exercises, Dips (wide arm), Swimming (freestyle intensive).","Scapular mobilization, Posterior capsule stretch (cross-body), Sleeper stretch, Anti-inflammatory protocol.","Rotator cuff strengthening (internal/external rotation), Serratus anterior activation, Row variations.","Landmine press, Cable shoulder press, Incline bench press, DB lateral raise (below 90°).","Omega-3 2-3g, Vitamin D3 2000 IU, Magnesium 300mg","Night pain, significant loss of ROM → cortisone + imaging.",Neer Classification; British Shoulder & Elbow Society Guidelines (variant)
128,Patellofemoral Pain Syndrome (Runner's Knee) — Variant 103,Knee,Mild,3-7,"Deep squats (beyond 90°), Leg extension machine, Running downhill, Lunges, Stair climbing, Plyometrics.","RICE protocol, VMO activation (quad sets), Straight leg raise, Short-arc quad, Non-weight-bearing cycling.","Mini squat (0-45°), Step-up (low), Hip strengthening (abductors/external rotators), Terminal knee extension.","Wall squat, Bulgarian split squat, Running at flat surface (progressive mileage), Box squat.","Glucosamine 1500mg + Chondroitin 1200mg, Collagen 10g + Vitamin C, Omega-3 2g","Locking, giving way, significant swelling → MRI to rule out meniscal tear.",British Journal of Sports Medicine PFPS Guidelines 2022 (variant)
129,Pectoral Strain (Bench Press Injury) — Variant 104,Chest / Pectoralis,Severe,5-14,"Bench press, Dips, Push-up, Chest fly, Cable crossover, Pull-over, Heavy overhead press.","Ice, Arm sling if Grade II, Pendulum exercises, Gentle shoulder ROM, No active pectoral loading.","Band pull-apart, Face pull, Low cable row, Scapular retraction, Light shoulder press.","Push-up, Incline DB press (light), Cable chest fly, Bench press. Gradual at 6-12 weeks.","Protein 2.2g/kg, Collagen 10g, Fish oil 3g, Vitamin C 1g",Sudden pain + pop + loss of contour → pectoral avulsion → surgical evaluation urgently.,AAOS Pectoral Injury Protocol; Sports Health Journal 2021 (variant)
130,Tibial Stress Fracture — Variant 105,Shin / Tibia,Mild,21-42 (non-weight-bearing),"All running, Jumping, High-impact cardio, Leg press (loaded), Calf raise. Crutches if pain on walking.","Non-weight-bearing with crutches (4-6 weeks), Pool running, Seated upper body work, Bone loading protocol (gentle).","Progressive weight-bearing, Pool jogging, Stationary cycling, Elliptical (low impact).",Return-to-run programme at 8-12 weeks (subject to X-ray/MRI clearance). Calcium and Vitamin D optimisation.,"Calcium 1500mg, Vitamin D3 4000 IU, Vitamin K2 100mcg, Magnesium 400mg","Night pain, bilateral tibial pain → DEXA scan (bone density), RED-S assessment.",BJSM Stress Fracture Management 2019; Military Orthopaedic Guidelines (variant)
131,Lateral Epicondylitis (Tennis Elbow) — Variant 106,Elbow,Severe,7-21,"Barbell wrist extension, Heavy grip exercises, Wrist curl, Reverse curl, Farmer's carry (heavy), Pull-ups (early).","Eccentric wrist extension (Tyler Twist, 3×15), Deep friction massage, Ice after activity, Counterforce brace.","Concentric wrist extension (light weight), Forearm pronation/supination, Grip strengthening (light squeezee ball).","Hammer curl, Reverse curl, Pull-up, Farmer's carry. Return at 8-12 weeks.","Collagen 15g + Vitamin C 50mg (30 min pre-exercise), Omega-3 3g",Persistent pain >3 months → consider PRP injection or shockwave therapy.,BJSM Lateral Epicondylitis Guidelines; Nirschl Classification (variant)
132,Shoulder Impingement Syndrome — Variant 107,Shoulder,Mild,7-21,"Overhead press, Lateral raise above 90°, Upright row, Behind-neck exercises, Dips (wide arm), Swimming (freestyle intensive).","Scapular mobilization, Posterior capsule stretch (cross-body), Sleeper stretch, Anti-inflammatory protocol.","Rotator cuff strengthening (internal/external rotation), Serratus anterior activation, Row variations.","Landmine press, Cable shoulder press, Incline bench press, DB lateral raise (below 90°).","Omega-3 2-3g, Vitamin D3 2000 IU, Magnesium 300mg","Night pain, significant loss of ROM → cortisone + imaging.",Neer Classification; British Shoulder & Elbow Society Guidelines (variant)
